,Property Name,Previous Property Name,Street Address,City,State,Zip,Sales Rep,Snappt POC, Property Unit Count ,FD Start Date (Customer Start Date),IDV Start Date,IV/CP Start Date,Onboarded Revenue Helper Column - Start Date Check,Billing Software,Property Billing Contact,Corporate Billing Contact,PMS,Rev Model,Monthly Rev (MRR),Monthly Minimum ,Contract Type,MGMT,SFDC Property ID,Ownership,Ownership Contact Name + Email Address,"Building Contact Name aka Primary Point of Contact (at Property)
[OPTIONAL]","Contact Info
[OPTIONAL]","Regional Manager
[OPTIONAL]",Status,,1-5k 4/29/25 roll out
New Property,Emerson at Red Oak,,,Red Oak,TX,,NP,Jodi,  306 ,9/28/2023,,5/6/25,,GCB,,,Yardi,SaaS,$382.50,,30 day out,Greystar,a01Dn00000HHMcUIAX,,,TBD,emersonredoakmgr@greystar.com,jamie.matsuno@greystar.com,Live,,#REF!
New Property,The Lydell,,,Glendale,WI,,JW,Jodi,  311 ,9/28/2023,,5/6/25,,GCB,,,,SaaS,$388.75,,30 day out,Greystar,a01Dn00000HHRnDIAX,,,Laura Burke,lydellmgr@greystar.com,nicole.groves@greystar.com,Live,,#REF!
New Property,Marabella on Pioneer I & II,,,Grand Prairie,TX,,NP,Danielle,  375 ,9/29/2023,,,,,,,Yardi,SaaS,$562.50,,30 dayout (month to month),Valiant Residential,a01Dn00000HHS2rIAH,,,Melissa Lopez-Rameriez,marabellamgr@valiantresidential.com,jtheiss@valiantresidential.com,Live,,#REF!
New Property,Cabana Southern,,,Mesa,AZ,,DC,Danielle,  250 ,10/2/2023,,4/29/25,,,,PAYBDGE209260-Regular@rcash.com,Yardi,SaaS,$375.00,,30 dayout (month to month),"Bridge Investment Group, LLC.",a01Dn00000HJ7DHIA1,,,Jermark Williams,jermark.williams@bridgepm.com,stacey.manzella@bridgepm.com,Live,,#REF!
New Property,TRIO at Jubilee Park,,,Orlando,FL,,DG,Brooke,  292 ,10/2/2023,opt out,TBD,,,,,,SaaS,$379.60,,Find Contract,Cambridge Management Services,a01Dn00000LhAfnIAF,,,Lyraine Valdez,lyrainevaldez@cambridgemsi.com,WendySikorski@cambridgemsi.com,Live,,#REF!
New Property,The Braydon II,,,Napa,CA,,DC,Danielle,  218 ,10/2/2023,,,,Nexus,,,Yardi,SaaS,$327.00,,30 dayout (month to month),Fairfield Residential,a01Dn00000HHf4rIAD,,,Carrie Jeffords (interim),cjeffords@ffres.com,cjeffords@ffres.com,Live,,#REF!
New Property,Coasterra,,,Fort Lauderdale,FL,,DC,Danielle,  242 ,10/2/2023,,,,Nexus,,,Yardi,SaaS,$363.00,,30 dayout (month to month),Fairfield Residential,a01Dn00000HJGyYIAX,,,David Daily,ddaily@ffres.com,shawksley@ffres.com,Live,,#REF!
New Property,Warner Pointe,,,Woodland Hills,CA,,DC,Terene,  85 ,10/2/2023,4/3/25,4/3/25,,GCB,,,,SaaS,$106.25,,30 day out,Greystar,a01Dn00000HHtBwIAL,,,Mark Jaime,warnerpointemgr@greystar.com,jhotch@greystar.com,Live,,#REF!
New Property,Presidio at Rancho Del Oro,,,Oceanside,CA,,DC,Jodi,  264 ,10/2/2023,,5/6/25,,GCB,,,,SaaS,$330.00,,30 day out,Greystar,a01Dn00000HHVsOIAX,,,Megan Harmon,presidioatrdomgr@greystar.com ,,Live,,#REF!
New Property,Urbane At Alewife,Hanover North Cambridge,,Cambridge,MA,,AG,Terene,  295 ,10/2/2023,,5/6/25,,GCB,,,Yardi,SaaS,$368.75,,30 day out,Greystar,a01Dn00000HHj3vIAD,,,TBD,northcambridge@greystar.com,sarah.mcneely@greystar.com,Live,,#REF!
New Property,1200 Broadway,,,Nashville,TN,,DG,Danielle,  313 ,10/2/2023,,8/12/25,,,,,Yardi,SaaS,$422.55,,30 dayout (month to month),Lincoln Property Co (Willow Bridge),a01Dn00000HHEwRIAX,,,Stephen Wyatt,stwyatt@willowbridgepc.com,,Live,,#REF!
New Property,Legacy on Rockhill Road,,,McKinney,TX,,NP,Brooke,  128 ,10/2/2023,5/29/2025,5/29/2025,,,ap@porticopm.com,ap@porticopm.com,RealPage,SaaS,$176.64,,12 month annual (COM exempt),Portico Property Management,a01Dn00000HJXG1IAP,,,TBD,legacyrockhillcm@porticopm.com,acox@porticopm.com,Live,,#REF!
New Property,The Ryon,,,Richmond,TX,,NP,Danielle,  348 ,10/2/2023,12/18/24,12/18/24,,,,,,SaaS,$435.00,,12 month annual (COM or owner request exempt),ZRS Management LLC,a01Dn00000LhAfrIAF,,,Melonee LeBlanc,mleblanc@zrsmanagement.com,cpetrash@zrsmanagement.com,Live,,#REF!
New Property,Lenox Grand,,,Austin,TX,,JW,Danielle,  315 ,10/3/2023,,,,Vendor Cafe,,,Yardi,SaaS,$393.75,,30 dayout (month to month),Avenue5 Residential,a01Dn00000HJ2vBIAT,,,Cory Barber,pm.lenoxgrand@avenue5apt.com,jperry@avenue5.com,Live,,#REF!
New Property,Summer Lake Villas,,,New Port Richey,FL,,FF,Jodi,  228 ,10/3/2023,,7/29/25,,,,,Yardi Breeze,SaaS,$342.00,,30 dayout (month to month),RAM Partners,a01Dn00000HHrepIAD,,,jennifer rzesutko,jennifer.rzesutko@ram-pm.com,Yanira.Herrera@ram-pm.com,Live,,#REF!
New Property,Tides at Walnut Park,,,Las Vegas,NV,,NP,Terene,  176 ,10/3/2023,,,,VendorCafe,,,,SaaS,$220.00,,30 day out,RPM Living,a01Dn00000HHw5sIAD,Tides Equities,,Alma Villegas,alma.villegas@rpmliving.com,toni.cino@rpmliving.com,Live,,#REF!
COM (under 90 days),1400 Fig,1400Fig,,Los Angeles,CA,,DC,Terene,  110 ,10/4/2023,,4/29/25,,,,,Yardi,SaaS,$165.00,,30 dayout (month to month),CTM,a01Dn00000HHF4NIAX,,,Molly Cristofalo,1400fig@ctm-as.com,tracie@ctm-as.com,Live,,#REF!
New Property,The Crescent Residences Fort Worth,,,Fort Worth,TX,,JW,Brooke,  169 ,10/4/2023,,4/29/25,,,,,Yardi,SaaS,$253.50,,30 dayout (month to month),FirstService Residential,a01Dn00000Lh3JXIAZ,,,Clarissa Shaw,manager@thecrescentresidences.com,Matthew.Knowles@Fsresidential.com,Live,,#REF!
New Property,Pierside North,,,Oceanside,CA,,DC,Terene,  66 ,10/4/2023,,5/6/25,,GCB,,,,SaaS,$82.50,,30 day out,Greystar,a01Dn00000HHVMxIAP,,,Ania Matusik,piersidemgr@greystar.com,abenelli@greystar.com,Live,,#REF!
New Property,LA Plaza Village,,,Los Angeles,CA,,DC,Terene,  279 ,10/4/2023,4/3/2025,4/3/2025,,GCB,,,RealPage,SaaS,$348.75,,30 day out,Greystar,a01Dn00000HHQY0IAP,,,Denise Choe,denise.choe@greystar.com,caramilliken@greystar.com,Live,,#REF!
New Property,Llewellyn,,,Los Angeles,CA,,DC,Brooke,  318 ,10/5/2023,4/3/2025,4/3/2025,,GCB,,,RealPage,SaaS,$397.50,,30 day out,Greystar,a01Dn00000HHkgzIAD,,,Angel Zelaya,llewellynmgr@greystar.com,Cara.Milliken@greystar.com,Live,,#REF!
New Property,3500 West View,,,Henrico,VA,,AG,Terene,  282 ,10/5/2023,,5/6/25,,GCB,,,Yardi,SaaS,$352.50,,30 day out,Greystar,a01Dn00000HJIRNIA5,,,Chelcie Chaddock,3500WestViewmgr@greystar.com,traci.clark@greystar.com,Live,,#REF!
New Property,Allora Kinder Ranch,,,San Antonio,TX,,NO,Jodi,  324 ,10/10/2023,,,,,,,,SaaS,$405.00,,30 day out,Cushman & Wakefield,a01Dn00000LEDj4IAH,,,Ashton Wagner ,Ashton.Wagner@cushwake.com,jaime.dailey@cushwake.com,Live,,#REF!
New Property,Avana Coral Springs,,,Coral Springs,FL,,FF,Brooke,  350 ,10/10/2023,,5/6/25,,GCB,,,Entrata,SaaS,$437.50,,30 day out,Greystar,a01Dn00000HHUcpIAH,,,Nadine Tiedemann,avanacoralspringsmgr@greystar.com,jasmine.cabezas@greystar.com,Live,,#REF!
COM (under 90 days),1400 HiLine,Design District,,Dallas,TX,,NP,Danielle,  314 ,10/10/2023,12/18/24,12/18/24,,,,,,SaaS,$392.50,,12 month annual (COM or owner request exempt),ZRS Management LLC,a01Dn00000HHFxnIAH,,,Megan Fleming,mfleming@zrsmanagement.com,blott@zrsmanagement.com,Live,,#REF!
New Property,Novel Beach Park,,,Tampa,FL,,FF,Brooke,  289 ,10/11/2023,,7/29/25,,VendorCafe,,,,SaaS,$433.50,,30 dayout (month to month),Bozzuto Management,a01Dn00000HHTAOIA5,,,Yvette Correa,NovelBeachpark@bozzuto.com,LCoshatt@bozzuto.com,Live,,#REF!
New Property,Foundry Townhomes,,,Simpsonville,SC,,DG,Jodi,  120 ,10/11/2023,,,,,,,Entrata,SaaS,$150.00,,30 day out,RangeWater Real Estate,a01Dn00000HHo2SIAT,,,Patricia Halbrook,cdfoundrytownhomes@liverangewater.com,lwalker@liverangewater.com,Live,,#REF!
New Property,Manor Hialeah,,,Hialeah,FL,,FF,Brooke,  642 ,10/11/2023,,7/29/25,,Ops,,,RealPage,SaaS,$963.00,,30 dayout (month to month),Related,a01Dn00000HJ7UpIAL,,,Katrina Leon,manorhialeahmgr@relatedgroup.com,wandalis.sanchez@relatedgroup.com,Live,,#REF!
New Property,Co-Op at the Med Center,,,Houston,TX,,NP,Danielle,  200 ,10/12/2023,12/11/23,,,,,,,SaaS,$250.00,,Find Contract,Asset Living,a01Dn00000HHgSWIA1,,,Consuelo Hernandez,consuelo.hernandez@assetliving.com,josh.fuentes@assetliving.com,Live,,#REF!
COM (under 90 days),Spoke,,,Chicago,IL,,JW,Terene,  363 ,10/12/2023,,5/6/25,,GCB,,,,SaaS,$453.75,,30 day out,Greystar,a01Dn00000HHr0DIAT,,,Amanda Gibbs,spokemgr@greystar.com,,Live,,#REF!
New Property,Millennium,,,Greenville,SC,,DG,Danielle,  305 ,10/12/2023,,8/12/25,,,,,,SaaS,$411.75,,30 dayout (month to month),Lincoln Property Co (Willow Bridge),a01Dn00000HHlZTIA1,,,Lauren Ward,millenniumgreenvillemgr@willowbridgepc.com,drozman@lpsi.com,Live,,#REF!
New Property,San Paulo at Mountain Park Ranch,,,Phoenix,AZ,,DC,Jodi,  208 ,10/16/2023,,5/6/25,,GCB,,,RealPage,SaaS,$260.00,,30 day out,Greystar,a01Dn00000HHXAoIAP,,,Raquel Vazquez,sanpaulomgr@greystar.com,jpatrick@greystar.com,Live,,#REF!
New Property,Santa Rosa,,,Phoenix,AZ,,DC,Jodi,  112 ,10/16/2023,,5/6/25,,GCB,,,RealPage,SaaS,$140.00,,30 day out,Greystar,a01Dn00000HHuz4IAD,,,Raquel Vazquez,Santarosamgr@greystar.com,jpatrick@greystar.com,Live,,#REF!
New Property,Abbey at Briar Forest,,,Houston,TX,,FF,Brooke,  680 ,10/17/2023,TBD - Opt in - waiting for connected payroll,TBD - Opt in - waiting for connected payroll,,,,,RealPage,SaaS,$952.00,,Find Contract,Abbey Residential Services,a01Dn00000HHG4DIAX,,,Kristen Settles,managerbriarforest@abbeyresidential.com,Mtamayo@abbeyresidential.com,Live,,#REF!
New Property,Abbey at Spring Town Center,,,Spring,TX,,FF,Brooke,  396 ,10/17/2023,TBD - Opt in - waiting for connected payroll,TBD - Opt in - waiting for connected payroll,,,,,RealPage,SaaS,$554.40,,Find Contract,Abbey Residential Services,a01Dn00000HHG4cIAH,,,Katherine DiBello,managerspringtc@abbeyresidential.com,Tknapp@abbeyresidential.com,Live,,#REF!
New Property,Abbey at Inverness,,,Birmingham,AL,,FF,Brooke,  801 ,10/17/2023,TBD - Opt in - waiting for connected payroll,TBD - Opt in - waiting for connected payroll,,,,,RealPage,SaaS,"$1,121.40",,Find Contract,Abbey Residential Services,a01Dn00000HHG4RIAX,,,Sherrye Tolbert,managerinverness@abbeyresidential.com,Kscruggs@abbeyresidential.com,Live,,#REF!
New Property,Abbey at Northlake,,,Riviera Beach,FL,,FF,Brooke,  520 ,10/17/2023,TBD - Opt in - waiting for connected payroll,TBD - Opt in - waiting for connected payroll,,,,,RealPage,SaaS,$728.00,,Find Contract,Abbey Residential Services,a01Dn00000HHG4WIAX,,,Tiffiny Jackson,managernorthlake@abbeyresidential.com,Wsain@abbeyresidential.com,Live,,#REF!
New Property,Abbey at Eagles Landing,,,Stockbridge,GA,,FF,Brooke,  244 ,10/17/2023,TBD - Opt in - waiting for connected payroll,TBD - Opt in - waiting for connected payroll,,,,,RealPage,SaaS,$341.60,,Find Contract,Abbey Residential Services,a01Dn00000HHG4JIAX,,,Keri Payne,managereagleslanding@abbeyresidential.com,Wsain@abbeyresidential.com,Live,,#REF!
New Property,Bevel,,,San Diego,CA,,DC,Danielle,  405 ,10/17/2023,,,,Nexus,,,Yardi,SaaS,$607.50,,30 dayout (month to month),Fairfield Residential,a01Dn00000HJ9cJIAT,,,Aleshia Morris,amorris2@ffres.com,cjaureguy@ffres.com,Live,,#REF!
New Property,The Hawthorne Apts.,,,Valley Stream,NY,,AG,Brooke,  90 ,10/17/2023,7/10/25,5/6/25,,GCB,,,,SaaS,$112.50,,30 day out,Greystar,a01Dn00000LERv2IAH,,,Sthefanne Gomez,thehawthornemgr@greystar.com,megana.cleary@greystar.com,Live,,#REF!
New Property,Avana Twenty9,,,Tucker,GA,,FF,Terene,  217 ,10/17/2023,,5/6/25,,GCB,,,,SaaS,$271.25,,30 day out,Greystar,a01Dn00000HHHR3IAP,,,Melvin Falk,avanatwenty9mgr@greystar.com,April.camp@greystar.com,Live,,#REF!
New Property,Avana Court,,,Duluth,GA,,FF,Terene,  446 ,10/17/2023,,5/6/25,,GCB,,,,SaaS,$557.50,,30 day out,Greystar,a01Dn00000HHHQJIA5,,,Ana Fernandez,avanacourtmgr@greystar.com,April.camp@greystar.com,Live,,#REF!
New Property,Bellamy Coastal,,,Conway,SC,,DG,Danielle,  150 ,10/17/2023,,5/6/25,,GCB,,,,SaaS,$187.50,,30 day out,Greystar,a01Dn00000HHeoBIAT,,,Kristi Rushing,kristi.rushing@greystar.com,,Live,,#REF!
COM (under 90 days),The Lumen,The Lumen at Playhouse Square,,Cleveland,OH,,DC,Danielle,  318 ,10/17/2023,,,,,,,,SaaS,$445.20,,30 dayout (month to month),Hines Management,a01Dn00000HHRk9IAH,,,Jessika Medina,manager@thelumencleveland.com,daniel.garcia2@hines.com,Live,,#REF!
New Property,Amavi Mooresville I & II,,,Mooresville,NC,,DC,Brooke,  239 ,10/17/2023,,,,,,Amavimooresville@millcreekplaces.com,Entrata,SaaS,$358.50,,30 day out,Mill Creek Residential,a01Dn00000HHGf1IAH,,,TBD,amavimooresville@millcreekplaces.com,Nwright@mcrtrust.com,Live,,#REF!
New Property,Vermella Broad Street,,,Newark,NJ,,AG,Brooke,  296 ,10/17/2023,,7/29/25,,,,,Yardi,SaaS,$444.00,,30 dayout (month to month),Russo Property Management,a01Dn00000LhF8eIAF,,,Shanette Jones,sjones@russomanagement.com,amedina@russomanagement.com,Live,,#REF!
New Property,Madison at Green Valley,,,Henderson,NV,,DC,Danielle,  88 ,10/17/2023,,,,,,,Entrata,SaaS,$123.20,,30 dayout (month to month),Stout Management Company,a01Dn00000HHRk0IAH,,,Saucha,MAGV@smc-lv.com,kweber@smc-lv.com,Live,,#REF!
New Property,Avana Palm Beach Gardens,,,Palm Beach Gardens,FL,,FF,Terene,  448 ,10/18/2023,,5/6/25,,GCB,,,Entrata,SaaS,$560.00,,30 day out,Greystar,a01Dn00000LEEufIAH,,Melissa Boyce,avanapbgmgr@greystar.com,chris.kelley@greystar.com,,a01Dn00000LEEufIAH,#REF!,
New Property,West Edge Apartments,,,Seattle,WA,,DC,Jodi,  340 ,10/18/2023,,5/6/25,,GCB,,,RealPage,SaaS,$425.00,,30 day out,Greystar,a01Dn00000HHbfLIAT,,,Derek Schaefer,westedgemgr@greystar.com,matthew.boehme@greystar.com,Live,,#REF!
New Property,2785 Speer,,,Denver,CO,,JW,Jodi,  332 ,10/18/2023,,5/6/25,,GCB,,,,SaaS,$415.00,,30 day out,Greystar,a01Dn00000HHdO3IAL,,,Latisha Ruybalid,2785speermgr@greystar.com,jarchuleta@greystar.com,Live,,#REF!
Win Back (over 90 days),Mira Flores,,,Palm Beach Gardens,FL,,FF,Terene,  352 ,10/18/2023,,5/6/25,,GCB,,,Yardi,SaaS,$440.00,,30 day out,Greystar,a01Dn00000HHStTIAX,,,Casandra Baez,mirafloresmgr@greystar.com,jeremy.scholl@greystar.com,Live,,#REF!
New Property,Ariva Luxury Residence,,,Las Vegas,NV,,DC,Brooke,  754 ,10/19/2023,,,,,,,Yardi,SaaS,$942.50,,30 day out,Cushman & Wakefield,a01Dn00000HHGuNIAX,,,Anasthasia Purifoy,Anasthasia.purifoy@cushwake.com,Amalie.Zinsser@cushwake.com,Live,,#REF!
New Property,Mark at Cityscape,,,Boca Raton,FL,,FF,Brooke,  208 ,10/19/2023,,5/6/25,,GCB,,,Yardi,SaaS,$260.00,,30 day out,Greystar,a01Dn00000HHS3zIAH,,,Jonathan Stephanoff,themarkmgr@greystar.com,chris.kelley@greystar.com,Live,,#REF!
New Property,Presley Uptown,,,Charlotte,NC,,DG,Terene,  230 ,10/19/2023,,5/6/25,,GCB,,,,SaaS,$287.50,,30 day out,Greystar,a01Dn00000HHVsgIAH,,,Jennifer Knowlton,jennifer.knowlton@greystar.com,"jennifer.knowlton@greystar.com",Live,,#REF!
Win Back (under 90 days),The Franklin,,,Delray Beach,FL,,FF,Danielle,  180 ,10/19/2023,,5/6/25,,GCB,,,,SaaS,$225.00,,30 day out,Greystar,a01Dn00000HHi9kIAD,,,Lori Allen,thefranklindelraymgr@greystar.com,chris.kelley@greystar.com,Live,,#REF!
New Property,Prose Farm,,,Thornton,CO,,JW,Terene,  312 ,10/19/2023,,5/6/25,,GCB,,,,SaaS,$390.00,,30 day out,Greystar,a01Dn00000HJPGEIA5,,,TBD,TBD,elizabeth.ryan@greystar.com,Live,,#REF!
New Property,Crescent West Hollywood,,,West Hollywood,CA,,DC,Terene,  130 ,10/20/2023,,,,,,,AIM,SaaS,$195.00,,2023 Promo - 30 day out,AMC Management,a01Dn00000HHLIXIA5,,,Maiah Shields,cwhmgr@amcllc.net,t.thomas@amcllc.net,Live,,#REF!
COM (over 90 days),hue39,The Link,,Glendale,CA,,DC,Terene,  143 ,10/20/2023,,,,,,,AIM,SaaS,$214.50,,2023 Promo - 30 day out,AMC Management,a01Dn00000HHcibIAD,,,Lauren Lee,inkmgr@amcllc.net,t.thomas@amcllc.net,Live,,#REF!
COM (over 90 days),Airo South Bay,Millennium South Bay,,Hawthorne,CA,,DC,Terene,  230 ,10/20/2023,,,,,,,AIM,SaaS,$345.00,,2023 Promo - 30 day out,AMC Management,a01Dn00000HHlZsIAL,,,Kristie Menendez,msbmgr@amcllc.net,t.thomas@amcllc.net,Live,,#REF!
COM (over 90 days),Monterey Station,,,Pomona,CA,,DC,Terene,  349 ,10/20/2023,,,,,,,AIM,SaaS,$523.50,,2023 Promo - 30 day out,AMC Management,a01Dn00000HHlh4IAD,,,Benjy Hall,mstmgr@amcllc.net,t.thomas@amcllc.net,Live,,#REF!
New Property,Renaissance at City Center,,,Carson,CA,,DC,Terene,  150 ,10/20/2023,,,,,,,AIM,SaaS,$225.00,,2023 Promo - 30 day out,AMC Management,a01Dn00000HHpUUIA1,,,Yessica Hernandez Zarate,rccmgr@amcllc.net,t.thomas@amcllc.net,Live,,#REF!
New Property,Union South Bay,,,Carson,CA,,DC,Terene,  357 ,10/20/2023,,,,,,,AIM,SaaS,$535.50,,2023 Promo - 30 day out,AMC Management,a01Dn00000HHa8uIAD,,,Maria Acosta Diaz,usbmgr@amcllc.net,t.thomas@amcllc.net,Live,,#REF!
New Property,Town Surprise,,,Surprise,AZ,,DC,Brooke,  114 ,10/20/2023,,5/6/25,,GCB,,,RealPage,SaaS,$142.50,,30 day out,Greystar,a01Dn00000HHZhhIAH,,,Kenya Stamps,townsurprisemgr@greystar.com,Jpatrick@greystar.com,Live,,#REF!
New Property,Laguna at Arrowhead Ranch,,,Glendale,AZ,,DC,Brooke,  160 ,10/20/2023,,5/6/25,,GCB,,,RealPage,SaaS,$200.00,,30 day out,Greystar,a01Dn00000HHQTmIAP,,,Isel Izquierdo,LagunaArrowheadMgr@greystar.com,Jpatrick@greystar.com,Live,,#REF!
New Property,Esteban Park,,,Phoenix,AZ,,DC,Brooke,  204 ,10/20/2023,,5/6/25,,GCB,,,RealPage,SaaS,$255.00,,30 day out,Greystar,a01Dn00000HHMszIAH,,,Jacqueline Rodriguez,estebanparkmgr@greystar.com,Jpatrick@greystar.com,Live,,#REF!
New Property,1190 Mission,,,San Francisco,CA,,DC,Jodi,  418 ,10/20/2023,,5/6/25,,GCB,,,,SaaS,$522.50,,30 day out,Greystar,a01Dn00000HHEvhIAH,,,Katie Sherriff,1190missionmgr@greystar.com,sumer.perkins@greystar.com,Live,,#REF!
New Property,Abode Kerr Ridge,,,Raleigh,NC,,DG,Terene,  83 ,10/20/2023,,5/6/25,,GCB,,,,SaaS,$103.75,,30 day out,Greystar,a01Dn00000LETFMIA5,,,Jessica Haselden,abodekerrridgemgr@greystar.com,melissa.caruso@greystar.com,Live,,#REF!
New Property,Historic Front Street Residences,,,New York,NY,,AG,Danielle,  90 ,10/20/2023,,4/29/25,,,,,,SaaS,$135.00,,2023 Promo - 30 day out,The Durst Organization,a01Dn00000LEShPIAX,,,James Dorward,jdorward@durst.org,dmogolesko@durst.org,Live,,#REF!
New Property,Marine View,,,San Pedro,CA,,JW,Danielle,  171 ,10/23/2023,,,,Vendor Cafe,,,Yardi,SaaS,$213.75,,2023 Promo - 30 day out,Avenue5 Residential,a01Dn00000HHl8WIAT,,,Sandy Don,pm.marineview@avenue5apt.com,PBaalke@avenue5.com,Live,,#REF!
COM (under 90 days),Ocean Breeze Villas,,,Huntington Beach,CA,,JW,Danielle,  287 ,10/23/2023,,,,Vendor Cafe,,,Yardi,SaaS,$358.75,,2023 Promo - 30 day out,Avenue5 Residential,a01Dn00000HHToYIAX,,,Talia Goss,pm.oceanbreeze@avenue5apt.com,PBaalke@avenue5.com,Live,,#REF!
New Property,North Loop Green,,,Minneapolis,MN,,DC,Terene,  450 ,10/23/2023,,,,,,,,SaaS,$630.00,,2023 Promo - 30 day out,Hines Management,a01Dn00000HJZb2IAH,,,Kevin Kangas,manager@nlg360.com,daniel.garcia2@hines.com,Live,,#REF!
New Property,Westgate Manor,,,Flint,MI,,AG,Jodi,  130 ,10/23/2023,,4/29/25,,,,,,SaaS,$195.00,,2023 Promo - 30 day out,NB Affordable,a01Dn00000HHbwGIAT,,,Clara Thomas,pm@westgatemanorapt.com,JayR@jasperres.com,Live,,#REF!
New Property,Sycamore Townhomes,,,Lansing,MI,,AG,Jodi,  344 ,10/23/2023,,4/29/25,,,,,,SaaS,$516.00,,2023 Promo - 30 day out,NB Affordable,a01Dn00000HHZOBIA5,,,Melinda Farrington,pm@sycamoretownhomes.com,JayR@jasperres.com,Live,,#REF!
Broadleaf Apartments - Guarantor,Southbrook Gardens,,,Jackson,MI,,AG,Jodi,  60 ,10/23/2023,,4/29/25,,,,,,SaaS,$90.00,,2023 Promo - 30 day out,NB Affordable,a01Dn00000HJVGcIAP,,,TBD,SouthbrookGardens@aogliving.com,ymerves@nbaffordable.com,Live,,#REF!
New Property,Redstone Townhomes,,,Flint,MI,,AG,Jodi,  119 ,10/23/2023,,4/29/25,,,,,,SaaS,$178.50,,2023 Promo - 30 day out,NB Affordable,a01Dn00000HHpD4IAL,,,Richard Rowe,pm@redstoneth.com,JayR@jasperres.com,Live,,#REF!
New Property,Covington Park I & II,,,Jackson,MI,,AG,Jodi,  156 ,10/23/2023,,4/29/25,,,,,,SaaS,$234.00,,2023 Promo - 30 day out,NB Affordable,a01Dn00000HHLVNIA5,,,Emma Bellfield,covingtonpark@aogliving.com,ymerves@nbaffordable.com,Live,,#REF!
New Property,Chapel Ridge of Jackson,,,Jackson,MI,,AG,Jodi,  144 ,10/23/2023,,4/29/25,,,,,,SaaS,$216.00,,2023 Promo - 30 day out,NB Affordable,a01Dn00000HHK2KIAX,,,Kadeja Dixon,pm@chapelridgejackson.com,ymerves@nbaffordable.com,Live,,#REF!
New Property,Oasis Club,,,Jacksonville,FL,,FF,Brooke,  242 ,10/23/2023,,7/29/25,,,,,Entrata,SaaS,$363.00,,2023 Promo - 30 day out,Peakmade,a01Dn00000HHTmyIAH,,,Anna Mendez,amendez@peakmade.com,sharvey@peakmade.com,Live,,#REF!
New Property,Silversmith Creek,,,Jacksonville,FL,,FF,Brooke,  140 ,10/23/2023,,7/29/25,,,,,Entrata,SaaS,$210.00,,2023 Promo - 30 day out,Peakmade,a01Dn00000HHXhZIAX,,,Angi Clark,aclark@peakmade.com,sharvey@peakmade.com,Live,,#REF!
New Property,Lakewood Oaks,,,Jacksonville,FL,,FF,Brooke,  138 ,10/23/2023,,7/29/25,,,,,Entrata,SaaS,$207.00,,2023 Promo - 30 day out,Peakmade,a01Dn00000HHQcfIAH,,,Abraham Mejia,amejia@peakmade.com,sharvey@peakmade.com,Live,,#REF!
New Property,Magnolia Point,,,Jacksonville,FL,,FF,Brooke,  227 ,10/23/2023,,7/29/25,,,,,Entrata,SaaS,$340.50,,2023 Promo - 30 day out,Peakmade,a01Dn00000HHvv5IAD,,,Jessica Leyba,jleyba@peakmade.com,sharvey@peakmade.com,Live,,#REF!
New Property,The Brio at the Boulevard,,,Yaphank,NY,,AG,Terene,  295 ,10/24/2023,,5/6/25,,GCB,,,,SaaS,$368.75,,30 day out,Greystar,a01Dn00000Op8uNIAR,,,Danielle Parrinello,thereserveblvdmgr@geystar.com,megana.cleary@greystar.com,Live,,#REF!
New Property,Reserve at the Boulevard,,,Yaphank,NY,,AG,Terene,  240 ,10/24/2023,,5/6/25,,GCB,,,,SaaS,$300.00,,30 day out,Greystar,a01Dn00000HHWYEIA5,,,Danielle Parrinello,thereserveblvdmgr@geystar.com,megana.cleary@greystar.com,Live,,#REF!
New Property,The Arboretum,,,Charlotte,NC,,DG,Terene,  277 ,10/24/2023,,5/6/25,,GCB,,,Yardi,SaaS,$346.25,,30 day out,Greystar,a01Dn00000HHeB0IAL,,,Mirid Veras,thearboretum@greystar.com,bknott@greystar.com,Live,,#REF!
New Property,The James Kirkwood,,,St. Louis,MO,,JW,Brooke,  152 ,10/24/2023,,5/6/25,,GCB,,,,SaaS,$190.00,,30 day out,Greystar,a01Dn00000Op8uSIAR,,,Jamie Guignon,thejamesmgr@greystar.com,allison.arias@greystar.com,Live,,#REF!
New Property,The Rockwell,,,Huntsville,AL,,FF,Terene,  175 ,10/24/2023,,,,,,,,SaaS,$218.75,,30 day out,RangeWater Real Estate,a01Dn00000Op8uhIAB,,,Shawna Jean,cmrockwell@liverangewater.com,robin.nail@liverangewater.com,Live,,#REF!
New Property,Broadstone Heights,,,Albuquerque,NM,,DC,Terene,  216 ,10/25/2023,,,,,,,AIM,SaaS,$291.60,,2023 Promo - 30 day out,AMC Management,a01Dn00000HHf8dIAD,Millburn and Company,,Lauren Santistevan,broadstoneheights@amcllc.net,r.gallegos@amcllc.net,Live,,#REF!
New Property,La Ventana,,,Albuquerque,NM,,DC,Terene,  232 ,10/25/2023,,,,,,,AIM,SaaS,$313.20,,2023 Promo - 30 day out,AMC Management,a01Dn00000HHkDaIAL,Millburn and Company,,Reina Gallegos,laventana@amcllc.net,r.gallegos@amcllc.net,Live,,#REF!
